m,v,d,tt,tp,ike,cu,e,lambda,AB,e/cu
0.1,5,0.04,-3.408826409,-2.445993676,0.223143551,0,4.605170186,-2.302585093,-1.668680831,4.605170186
0.1,5,0.04,-2.706351644,-1.815773512,0.223143551,0,4.605170186,0,-1.668680831,4.605170186
0.1,5,0.04,-2.706351644,-1.815773512,0.223143551,0,4.605170186,0,-1.668680831,4.605170186
0.5,5,0.04,-1.761075087,-0.817377958,1.832581464,0,4.605170186,-2.302585093,-1.668680831,4.605170186
0.5,10,0.04,-2.904430115,-1.259443232,3.218875825,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186
0.1,10,0.04,-3.658156281,-2.040651691,1.609437912,1.609437912,6.214608098,0,-0.059242918,4.605170186
0.5,5,0.04,-3.772261063,-2.692550938,1.832581464,1.609437912,6.214608098,-1.609437912,-0.059242918,4.605170186
0.5,5,0.04,-2.786444269,-1.780914489,1.832581464,1.609437912,6.214608098,0,-0.059242918,4.605170186
0.5,10,0.04,-2.904430115,-1.259443232,3.218875825,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186
0.5,10,0.04,-2.904430115,-1.259443232,3.218875825,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186
0.5,5,0.04,-2.786444269,-1.780914489,1.832581464,1.609437912,6.214608098,0,-0.059242918,4.605170186
0.2,15,0.04,-3.402197882,-1.417661197,3.113515309,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186
0.2,20,0.04,-3.186408635,-0.992167961,3.688879454,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186
0.1,10,0.04,-3.658156281,-2.040651691,1.609437912,1.609437912,6.214608098,0,-0.059242918,4.605170186
0.5,5,0.04,-3.48675527,-2.442215044,1.832581464,1.609437912,6.214608098,-2.302585093,-0.059242918,4.605170186
0.5,10,0.04,-3.597942459,-1.913954222,3.218875825,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186
0.2,10,0.04,-4.377238118,-2.641813123,2.302585093,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186
0.1,20,0.04,-4.411249493,-2.116470738,2.995732274,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186
0.2,10,0.04,-4.377238118,-2.641813123,2.302585093,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186
0.5,20,0.08,-3.780117935,-1.551319959,4.605170186,1.609437912,6.214608098,-1.609437912,0.633904262,4.605170186
0.2,15,0.04,-4.052435159,-2.000201618,3.113515309,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186
0.5,15,0.04,-3.520656822,-1.464748997,4.029806041,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186
0.5,10,0.04,-3.891240466,-2.195705731,3.218875825,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186
0.2,10,0.04,-4.706096105,-2.869416854,2.302585093,2.302585093,6.907755279,-1.609437912,0.633904262,4.605170186
0.2,20,0.04,-3.814896295,-1.524894579,3.688879454,2.302585093,6.907755279,-2.302585093,0.633904262,4.605170186
0.2,15,0.04,-3.399199379,-1.390945159,3.113515309,2.302585093,6.907755279,0,0.633904262,4.605170186
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186
0.5,20,0.08,-4.105607755,-1.793456909,4.605170186,2.302585093,6.907755279,-2.302585093,1.327051443,4.605170186
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186
0.5,20,0.08,-4.472389075,-2.067797596,4.605170186,2.302585093,6.907755279,-1.609437912,1.327051443,4.605170186
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186
0.5,20,0.08,-4.105607755,-1.793456909,4.605170186,2.302585093,6.907755279,-2.302585093,1.327051443,4.605170186
0.5,20,0.08,-3.473123121,-1.261234753,4.605170186,2.302585093,6.907755279,0,1.327051443,4.605170186
0.2,15,0.04,-5.163786474,-2.918771232,3.113515309,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.2,15,0.04,-4.876978909,-2.711877516,3.113515309,3.218875825,7.824046011,-2.302585093,1.550194994,4.605170186
0.5,15,0.04,-3.419157707,-1.350433131,4.029806041,3.218875825,7.824046011,0,1.550194994,4.605170186
0.2,15,0.04,-4.876978909,-2.711877516,3.113515309,3.218875825,7.824046011,-2.302585093,1.550194994,4.605170186
0.5,15,0.04,-3.419157707,-1.350433131,4.029806041,3.218875825,7.824046011,0,1.550194994,4.605170186
0.5,15,0.04,-3.419157707,-1.350433131,4.029806041,3.218875825,7.824046011,0,1.550194994,4.605170186
0.5,20,0.04,-3.849048206,-1.499131647,4.605170186,3.218875825,7.824046011,-2.302585093,1.550194994,4.605170186
0.2,20,0.04,-4.947660495,-2.555466463,3.688879454,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.5,15,0.04,-4.390058806,-2.27789248,4.029806041,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.5,15,0.04,-4.390058806,-2.27789248,4.029806041,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.2,20,0.04,-4.947660495,-2.555466463,3.688879454,3.218875825,7.824046011,-1.609437912,1.550194994,4.605170186
0.1,5,0.04,-3.590664407,-2.569941799,0.223143551,0,5.298317367,-2.302585093,-1.263215723,5.298317367
0.2,10,0.04,-2.748559744,-1.196692702,2.302585093,0,5.298317367,-1.609437912,-1.263215723,5.298317367
0.2,5,0.04,-2.187650555,-1.271809202,0.916290732,0,5.298317367,0,-1.263215723,5.298317367
0.5,5,0.04,-2.039605633,-1.081472026,1.832581464,0,5.298317367,-2.302585093,-1.263215723,5.298317367
0.1,10,0.04,-3.080419082,-1.583789659,1.609437912,0,5.298317367,-2.302585093,-1.263215723,5.298317367
0.1,5,0.04,-3.9633163,-2.840507885,0.223143551,0,5.298317367,-1.609437912,-1.263215723,5.298317367
0.1,10,0.04,-3.376114601,-1.830758127,1.609437912,0,5.298317367,-1.609437912,-1.263215723,5.298317367
0.2,5,0.04,-2.959207499,-1.988446112,0.916290732,0,5.298317367,-2.302585093,-1.263215723,5.298317367
0.2,10,0.04,-2.748559744,-1.196692702,2.302585093,0,5.298317367,-1.609437912,-1.263215723,5.298317367
0.1,5,0.04,-3.590664407,-2.569941799,0.223143551,0,5.298317367,-2.302585093,-1.263215723,5.298317367
0.1,10,0.04,-3.376114601,-1.830758127,1.609437912,0,5.298317367,-1.609437912,-1.263215723,5.298317367
0.1,20,0.04,-3.986746552,-1.760051522,2.995732274,1.609437912,6.907755279,-2.302585093,0.34622219,5.298317367
0.1,20,0.04,-4.300630996,-2.015033029,2.995732274,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367
0.1,15,0.04,-4.511679843,-2.449740298,2.420368129,1.609437912,6.907755279,-1.609437912,0.34622219,5.298317367
